ID_HECHO,CANT_VICTIMAS,FECHA_SINIESTRO,AÑO_S,MES_S,DIA_S,HORA,TIPO_DE_CALLE,NOMBRE_CALLE_AV,COMUNA,VEH_INVOLUCRADOS,VEH_AFECTADO,VEH_ACUSADO,FECHA_FALLECIMIENTO,AÑO_F,MES_F,DIA_F,ROL,VEH_FALLECIDO,SEXO,EDAD
2020-0001,1,2020-01-04,2020,1,4,10,CALLE,URIARTE,15,PEATON-AUTO,PEATON,AUTO,2020-01-04 00:00:00,2020,1,4,PEATON,PEATON,FEMENINO,87
2020-0002,1,2020-01-05,2020,1,5,20,AVENIDA,SARAZA,7,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2020-01-07 00:00:00,2020,1,5,CONDUCTOR,MOTO,MASCULINO,36
2020-0003,1,2020-01-11,2020,1,11,6,AVENIDA,RIVADAVIA AV.,3,PEATON-AUTO,PEATON,AUTO,2020-01-11 00:00:00,2020,1,11,PEATON,PEATON,MASCULINO,44
2020-0004,1,2020-01-14,2020,1,14,21,AVENIDA,RODRIGUEZ PE?A,1,PEATON-PASAJEROS,PEATON,PASAJEROS,2020-01-15 00:00:00,2020,1,14,PEATON,PEATON,MASCULINO,82
2020-0005,1,2020-01-14,2020,1,14,6,AVENIDA,24 DE NOVIEMBRE,3,MOTO-PASAJEROS,MOTO,PASAJEROS,2020-02-10 00:00:00,2020,1,14,CONDUCTOR,MOTO,MASCULINO,25
2020-0006,1,2020-01-20,2020,1,20,12,AVENIDA,LAFUENTE AV.,8,MOTO-CARGAS,MOTO,CARGAS,2020-01-20 00:00:00,2020,1,20,CONDUCTOR,MOTO,MASCULINO,23
2020-0007,1,2020-01-27,2020,1,27,0,CALLE,CHILE,1,PEATON-MOTO,PEATON,MOTO,2020-01-27 00:00:00,2020,1,27,PEATON,PEATON,MASCULINO,52
2020-0008,1,2020-01-30,2020,1,30,7,AVENIDA,CORDOBA AV.,2,MOTO-CARGAS,MOTO,CARGAS,2020-01-30 00:00:00,2020,1,30,CONDUCTOR,MOTO,MASCULINO,49
2020-0009,1,2020-02-04,2020,2,4,14,CALLE,"PERON, JUAN DOMINGO, TTE. GENERAL",5,PEATON-AUTO,PEATON,AUTO,2020-02-05 00:00:00,2020,2,4,PEATON,PEATON,MASCULINO,48
2020-0010,1,2020-02-08,2020,2,8,5,AVENIDA,9 DE JULIO AV.,1,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2020-02-08 00:00:00,2020,2,8,CONDUCTOR,MOTO,MASCULINO,SD
2020-0011,1,2020-02-12,2020,2,12,11,CALLE,COLOMBRES,5,MOTO-CARGAS,MOTO,CARGAS,2020-02-12 00:00:00,2020,2,12,CONDUCTOR,MOTO,MASCULINO,31
2020-0012,1,2020-02-18,2020,2,18,21,CALLE,MEXICO,3,PEATON-MOTO,PEATON,MOTO,2020-02-18 00:00:00,2020,2,18,PEATON,PEATON,FEMENINO,66
2020-0013,1,2020-02-20,2020,2,20,12,AVENIDA,COMBATIENTES DE MALVINAS AV.,15,PEATON-MOTO,PEATON,MOTO,2020-03-03 00:00:00,2020,2,20,PEATON,PEATON,FEMENINO,58
2020-0014,1,2020-02-27,2020,2,27,2,CALLE,BERMUDEZ,11,MOTO-PASAJEROS,MOTO,PASAJEROS,2020-02-27 00:00:00,2020,2,27,CONDUCTOR,MOTO,MASCULINO,SD
2020-0015,1,2020-02-28,2020,2,28,14,AVENIDA,BRASIL AV.,1,MOTO-PASAJEROS,MOTO,PASAJEROS,2020-02-28 00:00:00,2020,2,28,CONDUCTOR,MOTO,MASCULINO,29
2020-0016,1,2020-02-29,2020,2,29,13,AVENIDA,"ALEM, LEANDRO N. AV.",1,PEATON-PASAJEROS,PEATON,PASAJEROS,2020-03-09 00:00:00,2020,2,29,PEATON,PEATON,MASCULINO,68
2020-0017,1,2020-03-05,2020,3,5,23,AVENIDA,BELGRANO AV.,3,PEATON-AUTO,PEATON,AUTO,2020-03-05 00:00:00,2020,3,5,PEATON,PEATON,MASCULINO,SD
2020-0018,1,2020-03-09,2020,3,9,14,AVENIDA,"UDAONDO, GUILLERMO AV.",13,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2020-03-09 00:00:00,2020,3,9,CONDUCTOR,MOTO,MASCULINO,31
2020-0019,1,2020-03-10,2020,3,10,21,CALLE,CONSTITUCION,5,PEATON-AUTO,PEATON,AUTO,2020-03-10 00:00:00,2020,3,10,PEATON,PEATON,FEMENINO,80
2020-0020,1,2020-03-13,2020,3,13,17,AVENIDA,PUEYRREDON AV.,3,PEATON-MOTO,PEATON,MOTO,2020-03-17 00:00:00,2020,3,13,PEATON,PEATON,FEMENINO,74
2020-0021,1,2020-03-14,2020,3,14,16,CALLE,"BRAVO, MARIO",2,PEATON-AUTO,PEATON,AUTO,2020-03-14 00:00:00,2020,3,14,PEATON,PEATON,FEMENINO,87
2020-0022,1,2020-04-07,2020,4,7,6,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,9,AUTO-CARGAS,AUTO,CARGAS,2020-04-07 00:00:00,2020,4,7,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,44
2020-0023,1,2020-04-09,2020,4,9,18,AVENIDA,"ARAOZ DE LAMADRID, GREGORIO, GRAL.",4,AUTO-CARGAS,AUTO,CARGAS,2020-05-03 00:00:00,2020,4,9,CONDUCTOR,AUTO,MASCULINO,44
2020-0024,1,2020-04-24,2020,4,24,7,CALLE,MURGUIONDO,9,AUTO-AUTO,AUTO,AUTO,2020-04-24 00:00:00,2020,4,24,CONDUCTOR,AUTO,MASCULINO,53
